id,q1,q2,q3_1,q3_2,q3_3,q4_1,q4_2,q4_3,q5_1,q5_2,q5_3,q6,q7,q8_1,q8_2,q8_3,q8_4,q9,q10,sex,age,area,job,inc,edu,wt
12.0,공약 실천 방안 마련,별로 관심이 없다,안전,정의,상생,일자리 창출 등 경제 활성화,물가 및 서민 생활 안정,부정부패 척결,신규 일자리 창출,고령화 저출산 문제 해결,"차별, 혐오 등 사회 불평등 해소",없다,,보통,그렇다,그렇지 않다,그렇지 않다,중위,보수,여자,36.0,경기,전업 주부,300만원~400만원 미만,대학원 졸업,1.292
13.0,공약 실천 방안 마련,별로 관심이 없다,공정,통합,혁신,사회갈등 해소를 위한 국민 통합,정치 제도 개혁,일자리 창출 등 경제 활성화,경제 양극화 해소,신성장동력 첨단기술 육성,고령화 저출산 문제 해결,없다,,그렇다,보통,보통,보통,중하위,중도,남자,42.0,서울,"사무직(회사원, 일반공무원 등)",100만원 미만,대학원 졸업,1.118
14.0,공약 실천 방안 마련,대체로 관심이 있다,회복,인권,상생,물가 및 서민 생활 안정,일자리 창출 등 경제 활성화,입시 제도 등 교육 개혁,창의적 인재 육성을 위한 교육 개혁,신규 일자리 창출,지역 균형 발전,김대중(15대),잘못은 지도층들이 저절러놓고 고통은 죄없는 국민이 당하는것을 생각할때 한없는 아픔과 울분을 감출수없었다는 내용,그렇다,매우 그렇다,그렇다,그렇다,중위,진보,여자,48.0,전남,전업 주부,800만원 이상,대학교 (4년제) 졸업,1.222
15.0,공약 실천 방안 마련,대체로 관심이 있다,회복,혁신,정의,물가 및 서민 생활 안정,부동산 안정,정치 제도 개혁,창의적 인재 육성을 위한 교육 개혁,신성장동력 첨단기술 육성,한류 문화 활성화,없다,,그렇다,그렇다,보통,보통,중위,보수,여자,30.0,경북,전문직(준전문직 포함),200만원~300만원 미만,대학교 (4년제) 졸업,0.875
16.0,국가 비전 제시,매우 관심이 있다,공정,안전,상생,일자리 창출 등 경제 활성화,부정부패 척결,사회 불공정 타파,고령화 저출산 문제 해결,신성장동력 첨단기술 육성,창의적 인재 육성을 위한 교육 개혁,박정희(5~9대),고도 산업 국가를 이루어 번영과 풍요 속에 복지국가를 이루겠다,보통,그렇다,보통,그렇다,중상위,중도,여자,69.0,서울,전업 주부,300만원~400만원 미만,"대학(2,3년제) 재학",1.143
17.0,공약 실천 방안 마련,매우 관심이 있다,회복,상생,혁신,물가 및 서민 생활 안정,부정부패 척결,정치 제도 개혁,경제 양극화 해소,"차별, 혐오 등 사회 불평등 해소",신규 일자리 창출,없다,,보통,그렇다,보통,보통,중위,보수,여자,29.0,경기,학생,800만원 이상,대학교 (4년제) 졸업,1.133
18.0,공약 실천 방안 마련,매우 관심이 있다,공정,정의,무응답,부동산 안정,출산율 제고와 양육 문제,사회갈등 해소를 위한 국민 통합,경제 양극화 해소,고령화 저출산 문제 해결,지역 균형 발전,문재인(19대),"존경하고 사랑하는 국민 여러분, 힘들었던 지난 세월 국민들은 이게 나라냐고 물었습니다. 대통령 문재인은 바로 그 질문에서 새로 시작하겠습니다. 오늘부터 나라를 나라답게 만드는 대통령이 되겠습니다.",보통,그렇다,그렇지 않다,그렇다,하위,중도,남자,29.0,서울,기술/기능직,200만원~300만원 미만,대학원 재학,0.87
19.0,국가 비전 제시,매우 관심이 있다,회복,상생,공정,일자리 창출 등 경제 활성화,사회갈등 해소를 위한 국민 통합,부동산 안정,고령화 저출산 문제 해결,경제 양극화 해소,지역 균형 발전,없다,없음/무응답/기억안남,그렇다,그렇다,보통,보통,중상위,중도,여자,56.0,서울,전업 주부,800만원 이상,대학교 (4년제) 졸업,0.87
20.0,공약 실천 방안 마련,전혀 관심이 없다,공정,상생,혁신,물가 및 서민 생활 안정,일자리 창출 등 경제 활성화,출산율 제고와 양육 문제,경제 양극화 해소,고령화 저출산 문제 해결,창의적 인재 육성을 위한 교육 개혁,없다,,그렇다,그렇다,그렇지 않다,그렇지 않다,중위,잘 모름,여자,26.0,충남,무직/실업상태,800만원 이상,"대학(2,3년제) 졸업",2.0
21.0,각종 의혹 해소,대체로 관심이 있다,공정,회복,안전,지역 균형 발전,정치 제도 개혁,일자리 창출 등 경제 활성화,한반도 평화와 통일 프로세스 구축,지역 균형 발전,무응답,김대중(15대),외환위기를 만든 정경유착의 원인인 사람들에 대한 질책과...좋은 나라를 후손들에게 넘겨주는 자랑스러운 조상이 됩시다.,보통,그렇지 않다,그렇지 않다,그렇지 않다,중하위,중도,여자,52.0,충남,무직/실업상태,200만원~300만원 미만,대학교 (4년제) 졸업,1.0
22.0,국민 통합,매우 관심이 있다,혁신,상생,정의,출산율 제고와 양육 문제,일자리 창출 등 경제 활성화,입시 제도 등 교육 개혁,고령화 저출산 문제 해결,"차별, 혐오 등 사회 불평등 해소",신규 일자리 창출,없다,,그렇다,보통,그렇지 않다,그렇지 않다,중위,진보,여자,18.0,인천,무직/실업상태,600만원~700만원 미만,고등학교 졸업,1.133
23.0,국민 통합,대체로 관심이 있다,통합,공정,회복,물가 및 서민 생활 안정,사회갈등 해소를 위한 국민 통합,일자리 창출 등 경제 활성화,한반도 평화와 통일 프로세스 구축,경제 양극화 해소,고령화 저출산 문제 해결,박정희(5~9대),5천만 우리 민족이 삼천리 금수강산 이 땅 위에서 자유와 번영과평화의 기쁨을 누려보자는 나의 이 열망은 더욱 진하고 뜨거워짐을절감합니다.어찌 이것이 나 혼자만의 소망이겠습니까?,그렇지 않다,그렇지 않다,보통,보통,중하위,보수,남자,51.0,경기,"관리직(기업체 부장이상 임원,고급공무원)",300만원~400만원 미만,대학교 (4년제) 졸업,1.081
24.0,국민 통합,별로 관심이 없다,공정,정의,회복,물가 및 서민 생활 안정,일자리 창출 등 경제 활성화,부정부패 척결,경제 양극화 해소,신규 일자리 창출,"차별, 혐오 등 사회 불평등 해소",없다,없음/무응답/기억안남,그렇지 않다,보통,그렇지 않다,그렇지 않다,중위,중도,여자,49.0,경기,무직/실업상태,600만원~700만원 미만,대학교 (4년제) 졸업,0.884
25.0,공약 실천 방안 마련,별로 관심이 없다,인권,회복,공정,사회 불공정 타파,지역 균형 발전,사회갈등 해소를 위한 국민 통합,"차별, 혐오 등 사회 불평등 해소",경제 양극화 해소,지역 균형 발전,없다,,그렇지 않다,그렇지 않다,그렇지 않다,전혀 그렇지 않다,중하위,진보,여자,26.0,충남,기술/기능직,200만원~300만원 미만,대학원 졸업,2.0
26.0,국가 비전 제시,대체로 관심이 있다,통합,혁신,공정,일자리 창출 등 경제 활성화,물가 및 서민 생활 안정,사회갈등 해소를 위한 국민 통합,신규 일자리 창출,경제 양극화 해소,신성장동력 첨단기술 육성,문재인(19대),대화하고 소통하는 대통령이 되겠습니다,그렇다,그렇다,그렇지 않다,보통,중위,중도,여자,45.0,경기,"사무직(회사원, 일반공무원 등)",500만원~600만원 미만,대학교 (4년제) 졸업,0.884
27.0,공약 실천 방안 마련,별로 관심이 없다,인권,공정,안전,지역 균형 발전,일자리 창출 등 경제 활성화,물가 및 서민 생활 안정,지역 균형 발전,신규 일자리 창출,경제 양극화 해소,문재인(19대),빈손으로 취임하고 빈손으로 가겠다,그렇지 않다,보통,그렇지 않다,보통,중위,진보,여자,20.0,전남,학생,모름,대학교 (4년제) 재학,1.0
28.0,각종 의혹 해소,매우 관심이 있다,공정,통합,혁신,사회 불공정 타파,사회갈등 해소를 위한 국민 통합,부정부패 척결,창의적 인재 육성을 위한 교육 개혁,"차별, 혐오 등 사회 불평등 해소",지역 균형 발전,없다,,매우 그렇다,보통,그렇다,그렇다,중하위,중도,남자,52.0,경남,"관리직(기업체 부장이상 임원,고급공무원)",400만원~500만원 미만,대학교 (4년제) 졸업,0.654
29.0,국가 비전 제시,대체로 관심이 있다,정의,통합,공정,일자리 창출 등 경제 활성화,사회갈등 해소를 위한 국민 통합,물가 및 서민 생활 안정,창의적 인재 육성을 위한 교육 개혁,신성장동력 첨단기술 육성,신규 일자리 창출,없다,,그렇지 않다,그렇지 않다,그렇지 않다,전혀 그렇지 않다,하위,중도,여자,65.0,인천,전업 주부,100만원~200만원 미만,고등학교 졸업,1.019
30.0,국민 통합,대체로 관심이 있다,인권,공정,통합,일자리 창출 등 경제 활성화,부동산 안정,부정부패 척결,창의적 인재 육성을 위한 교육 개혁,경제 양극화 해소,"차별, 혐오 등 사회 불평등 해소",박근혜(18대),통합과 공정,보통,그렇다,전혀 그렇지 않다,그렇지 않다,중하위,중도,여자,60.0,부산,전업 주부,200만원~300만원 미만,대학교 (4년제) 졸업,1.034
31.0,국민 통합,매우 관심이 있다,공정,혁신,회복,부동산 안정,사회갈등 해소를 위한 국민 통합,물가 및 서민 생활 안정,"차별, 혐오 등 사회 불평등 해소",정치적 갈등 해소방안 마련,경제 양극화 해소,노무현(16대),"정부 국정운영 원칙 신뢰,공정,투명 대화타엽",보통,보통,그렇지 않다,그렇지 않다,하위,보수,여자,64.0,경기,전문직(준전문직 포함),300만원~400만원 미만,고등학교 졸업,1.019
32.0,국민 통합,대체로 관심이 있다,통합,공정,혁신,부동산 안정,출산율 제고와 양육 문제,지역 균형 발전,경제 양극화 해소,정치적 갈등 해소방안 마련,창의적 인재 육성을 위한 교육 개혁,노무현(16대),우리는 해낼 수 있습니다.,보통,보통,그렇지 않다,그렇지 않다,중하위,진보,남자,44.0,울산,기술/기능직,200만원~300만원 미만,대학교 (4년제) 졸업,0.941
33.0,국가 비전 제시,대체로 관심이 있다,공정,회복,혁신,물가 및 서민 생활 안정,부정부패 척결,일자리 창출 등 경제 활성화,고령화 저출산 문제 해결,경제 양극화 해소,"차별, 혐오 등 사회 불평등 해소",김대중(15대),민주적 정권교체,보통,보통,그렇지 않다,그렇다,중하위,중도,남자,41.0,경기,기타,300만원~400만원 미만,대학교 (4년제) 졸업,0.784
34.0,국가 비전 제시,별로 관심이 없다,공정,안전,상생,물가 및 서민 생활 안정,일자리 창출 등 경제 활성화,부동산 안정,신규 일자리 창출,고령화 저출산 문제 해결,신성장동력 첨단기술 육성,없다,,그렇지 않다,보통,그렇지 않다,그렇지 않다,중위,중도,여자,53.0,서울,전업 주부,800만원 이상,대학교 (4년제) 졸업,0.87
35.0,공약 실천 방안 마련,대체로 관심이 있다,회복,상생,공정,일자리 창출 등 경제 활성화,부정부패 척결,사회갈등 해소를 위한 국민 통합,신규 일자리 창출,"차별, 혐오 등 사회 불평등 해소",한류 문화 활성화,없다,없음/무응답/기억안남,보통,보통,보통,보통,중위,중도,남자,27.0,인천,학생,100만원 미만,대학원 재학,0.74
37.0,각종 의혹 해소,매우 관심이 있다,정의,공정,혁신,사회갈등 해소를 위한 국민 통합,출산율 제고와 양육 문제,물가 및 서민 생활 안정,"차별, 혐오 등 사회 불평등 해소",고령화 저출산 문제 해결,창의적 인재 육성을 위한 교육 개혁,박근혜(18대),어느 나라나 가장 중요한 자산은 사람입니다,보통,보통,전혀 그렇지 않다,전혀 그렇지 않다,중위,보수,여자,34.0,서울,"사무직(회사원, 일반공무원 등)",500만원~600만원 미만,대학교 (4년제) 재학,0.905
38.0,국민 통합,대체로 관심이 있다,상생,통합,평화,부동산 안정,물가 및 서민 생활 안정,국제외교 및 남북관계 긴장 완화,정치적 갈등 해소방안 마련,경제 양극화 해소,한반도 평화와 통일 프로세스 구축,전두환(11~12대),부정부패,그렇지 않다,그렇지 않다,그렇지 않다,그렇지 않다,하위,중도,남자,52.0,대구,서비스직,100만원~200만원 미만,고등학교 졸업,0.786
39.0,국민 통합,대체로 관심이 있다,통합,안전,상생,부정부패 척결,부동산 안정,사회갈등 해소를 위한 국민 통합,경제 양극화 해소,고령화 저출산 문제 해결,"차별, 혐오 등 사회 불평등 해소",김대중(15대),지역감정 없앤다,그렇지 않다,그렇지 않다,그렇지 않다,그렇지 않다,하위,진보,남자,42.0,인천,기술/기능직,100만원~200만원 미만,"대학(2,3년제) 졸업",0.784
40.0,각종 의혹 해소,별로 관심이 없다,혁신,공정,안전,부정부패 척결,사회 불공정 타파,물가 및 서민 생활 안정,경제 양극화 해소,"차별, 혐오 등 사회 불평등 해소",지역 균형 발전,없다,없음/무응답/기억안남,보통,보통,보통,보통,하위,잘 모름,남자,50.0,경남,무직/실업상태,100만원 미만,대학교 (4년제) 졸업,0.654
42.0,공약 실천 방안 마련,매우 관심이 있다,안전,평화,혁신,일자리 창출 등 경제 활성화,물가 및 서민 생활 안정,사회갈등 해소를 위한 국민 통합,고령화 저출산 문제 해결,경제 양극화 해소,신규 일자리 창출,김대중(15대),"IMF,인터넷활성화를 위한 컴퓨터 보급",그렇다,그렇다,보통,보통,중하위,진보,여자,68.0,전남,전업 주부,400만원~500만원 미만,고등학교 졸업,0.852
43.0,국민 통합,매우 관심이 있다,통합,회복,공정,사회갈등 해소를 위한 국민 통합,일자리 창출 등 경제 활성화,의료 등 복지 향상,한반도 평화와 통일 프로세스 구축,경제 양극화 해소,지역 균형 발전,김대중(15대),"40대 기수론, 평화와 번영, 깨어있는 자",그렇다,그렇다,보통,그렇다,중위,진보,남자,69.0,전북,농업/임업/어업/수산업/축산업,300만원~400만원 미만,대학원 졸업,0.905
44.0,공약 실천 방안 마련,대체로 관심이 있다,인권,공정,안전,일자리 창출 등 경제 활성화,부정부패 척결,사회갈등 해소를 위한 국민 통합,고령화 저출산 문제 해결,"차별, 혐오 등 사회 불평등 해소",지역 균형 발전,없다,없음/무응답/기억안남,보통,그렇다,전혀 그렇지 않다,그렇지 않다,중하위,중도,여자,28.0,경기,전문직(준전문직 포함),500만원~600만원 미만,대학교 (4년제) 졸업,1.133
45.0,국가 비전 제시,매우 관심이 있다,공정,혁신,회복,사회 불공정 타파,일자리 창출 등 경제 활성화,부동산 안정,신성장동력 첨단기술 육성,지역 균형 발전,신규 일자리 창출,이명박(17대),"지구상에서 가장 가난했던 나라가 세계 10위권의 경제대국이 되었습니다. 남들은 이것을 ‘기적’이라고 부릅니다. ‘신화’라고도 합니다. 그러나 우리는 알고 있습니다. 그것은 기적이 아니라, 우리가 다 함께 흘린 피와 땀과 눈물의 결정입니다. 그것은 신화가 아니라, 우리가 살아온 진실한 삶의 이야기입니다. 독립을 위해 목숨을 바친 선열들, 전선에서 산화한 장병들, 뙤약볕 비바람 속에 땅을 일군 농민들, 밤낮없이 산업현장을 지켜낸 근로자들, 젊음을 바쳐 민주화를 일구어낸 청년들의 눈물겹도록 위대한 이야기입니다",보통,보통,전혀 그렇지 않다,그렇지 않다,중위,보수,남자,24.0,경북,학생,800만원 이상,대학원 재학,1.111
46.0,국가 비전 제시,대체로 관심이 있다,회복,평화,혁신,국제외교 및 남북관계 긴장 완화,물가 및 서민 생활 안정,사회갈등 해소를 위한 국민 통합,신성장동력 첨단기술 육성,한반도 평화와 통일 프로세스 구축,무응답,노무현(16대),"동북아시대, 평화번영정책,",그렇다,보통,보통,보통,중하위,진보,남자,29.0,대전,학생,100만원~200만원 미만,대학원 재학,1.0
48.0,각종 의혹 해소,별로 관심이 없다,인권,안전,평화,부동산 안정,부정부패 척결,의료 등 복지 향상,"차별, 혐오 등 사회 불평등 해소",한반도 평화와 통일 프로세스 구축,신성장동력 첨단기술 육성,없다,,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,하위,중도,여자,56.0,경기,"사무직(회사원, 일반공무원 등)",300만원~400만원 미만,고등학교 졸업,0.975
49.0,국가 비전 제시,대체로 관심이 있다,공정,통합,혁신,사회 불공정 타파,지역 균형 발전,물가 및 서민 생활 안정,경제 양극화 해소,신성장동력 첨단기술 육성,신규 일자리 창출,없다,,보통,보통,그렇지 않다,그렇지 않다,중하위,중도,남자,23.0,경기,학생,200만원~300만원 미만,대학교 (4년제) 재학,0.74
50.0,국민 통합,대체로 관심이 있다,상생,혁신,회복,부동산 안정,물가 및 서민 생활 안정,사회갈등 해소를 위한 국민 통합,경제 양극화 해소,신규 일자리 창출,정치적 갈등 해소방안 마련,없다,,그렇지 않다,보통,그렇지 않다,그렇지 않다,중위,중도,여자,59.0,서울,전업 주부,400만원~500만원 미만,대학교 (4년제) 재학,0.87
51.0,국가 비전 제시,대체로 관심이 있다,안전,회복,통합,물가 및 서민 생활 안정,의료 등 복지 향상,부동산 안정,신성장동력 첨단기술 육성,경제 양극화 해소,창의적 인재 육성을 위한 교육 개혁,노무현(16대),국민행복은 국민이 편안하고 안전할 때 꽃 피울 수 있습니다,그렇다,그렇다,전혀 그렇지 않다,전혀 그렇지 않다,중하위,진보,남자,45.0,경기,"사무직(회사원, 일반공무원 등)",300만원~400만원 미만,"대학(2,3년제) 졸업",0.784
52.0,국가 비전 제시,별로 관심이 없다,혁신,상생,공정,물가 및 서민 생활 안정,일자리 창출 등 경제 활성화,정치 제도 개혁,고령화 저출산 문제 해결,신규 일자리 창출,신성장동력 첨단기술 육성,노무현(16대),구체적으로 기억 안남,그렇지 않다,그렇지 않다,그렇지 않다,그렇지 않다,중상위,중도,여자,49.0,서울,자영업주(9인이하 고용),600만원~700만원 미만,대학교 (4년제) 졸업,1.0
54.0,각종 의혹 해소,대체로 관심이 있다,공정,정의,안전,물가 및 서민 생활 안정,부정부패 척결,일자리 창출 등 경제 활성화,신성장동력 첨단기술 육성,신규 일자리 창출,경제 양극화 해소,노무현(16대),구체적인 기억은 나지 않지만 비전과 같이 말하는 게 마음에 들었다,보통,그렇다,그렇지 않다,그렇지 않다,중하위,진보,남자,19.0,충북,학생,400만원~500만원 미만,고등학교 졸업,1.0
55.0,국가 비전 제시,대체로 관심이 있다,회복,공정,정의,부동산 안정,일자리 창출 등 경제 활성화,사회갈등 해소를 위한 국민 통합,신규 일자리 창출,정치적 갈등 해소방안 마련,경제 양극화 해소,문재인(19대),공정하다는말,그렇지 않다,그렇지 않다,보통,보통,중하위,진보,남자,24.0,경북,학생,300만원~400만원 미만,대학교 (4년제) 재학,1.111
56.0,공약 실천 방안 마련,전혀 관심이 없다,공정,정의,회복,부동산 안정,물가 및 서민 생활 안정,지역 균형 발전,지역 균형 발전,경제 양극화 해소,신성장동력 첨단기술 육성,노무현(16대),선한 인상이 기억에 남음,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,하위,중도,남자,49.0,부산,무직/실업상태,100만원 미만,"대학(2,3년제) 졸업",0.941
57.0,국가 비전 제시,별로 관심이 없다,혁신,통합,공정,정치 제도 개혁,부정부패 척결,부동산 안정,고령화 저출산 문제 해결,신성장동력 첨단기술 육성,"차별, 혐오 등 사회 불평등 해소",없다,,그렇다,그렇다,전혀 그렇지 않다,그렇지 않다,중위,중도,남자,24.0,경기,생산직,모름,"대학(2,3년제) 졸업",0.74
58.0,공약 실천 방안 마련,매우 관심이 있다,공정,혁신,회복,물가 및 서민 생활 안정,부동산 안정,의료 등 복지 향상,창의적 인재 육성을 위한 교육 개혁,경제 양극화 해소,고령화 저출산 문제 해결,이명박(17대),경제발전 할수있다,그렇지 않다,그렇지 않다,보통,그렇지 않다,중위,중도,여자,60.0,경남,전업 주부,100만원~200만원 미만,"대학(2,3년제) 졸업",1.034
59.0,공약 실천 방안 마련,별로 관심이 없다,인권,안전,평화,부동산 안정,일자리 창출 등 경제 활성화,출산율 제고와 양육 문제,경제 양극화 해소,지역 균형 발전,고령화 저출산 문제 해결,문재인(19대),경험해못한 대한민국,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,중위,진보,남자,64.0,경남,기타,500만원~600만원 미만,대학원 졸업,1.136
60.0,공약 실천 방안 마련,대체로 관심이 있다,평화,상생,공정,부정부패 척결,국제외교 및 남북관계 긴장 완화,지역 균형 발전,경제 양극화 해소,한반도 평화와 통일 프로세스 구축,지역 균형 발전,김대중(15대),외환위기 극복 과정의 고통에 대한 메시지,그렇지 않다,보통,그렇지 않다,그렇지 않다,하위,보수,남자,39.0,서울,기술/기능직,200만원~300만원 미만,대학교 (4년제) 졸업,1.059
61.0,국가 비전 제시,대체로 관심이 있다,통합,인권,평화,의료 등 복지 향상,일자리 창출 등 경제 활성화,국제외교 및 남북관계 긴장 완화,지역 균형 발전,신규 일자리 창출,신성장동력 첨단기술 육성,이명박(17대),화이팅,보통,그렇다,보통,그렇다,중하위,보수,남자,25.0,경기,기술/기능직,700만원~800만원 미만,"대학(2,3년제) 졸업",0.74
62.0,공약 실천 방안 마련,대체로 관심이 있다,공정,회복,상생,일자리 창출 등 경제 활성화,물가 및 서민 생활 안정,지역 균형 발전,경제 양극화 해소,신규 일자리 창출,지역 균형 발전,김대중(15대),IMF 관련 / 잘못은 지도층이 해놓고 고통은 국민들이 받았다,보통,그렇다,전혀 그렇지 않다,그렇지 않다,중위,중도,여자,29.0,경기,"사무직(회사원, 일반공무원 등)",700만원~800만원 미만,고등학교 졸업,1.133
64.0,국가 비전 제시,대체로 관심이 있다,혁신,안전,통합,부동산 안정,물가 및 서민 생활 안정,지역 균형 발전,경제 양극화 해소,창의적 인재 육성을 위한 교육 개혁,지역 균형 발전,노무현(16대),"별 생각은 안 나지만 ...사람이 잘 사는 사회,사람답게 살 수 있는 사회",보통,보통,그렇지 않다,그렇지 않다,중위,중도,여자,60.0,서울,전업 주부,200만원~300만원 미만,대학교 (4년제) 재학,1.143
65.0,공약 실천 방안 마련,매우 관심이 있다,인권,안전,공정,사회갈등 해소를 위한 국민 통합,출산율 제고와 양육 문제,정치 제도 개혁,"차별, 혐오 등 사회 불평등 해소",고령화 저출산 문제 해결,정치적 갈등 해소방안 마련,없다,없음/무응답/기억안남,그렇지 않다,보통,그렇지 않다,그렇지 않다,중하위,진보,여자,20.0,강원,학생,500만원~600만원 미만,"대학(2,3년제) 졸업",1.133
66.0,공약 실천 방안 마련,별로 관심이 없다,상생,공정,인권,물가 및 서민 생활 안정,사회갈등 해소를 위한 국민 통합,일자리 창출 등 경제 활성화,신성장동력 첨단기술 육성,창의적 인재 육성을 위한 교육 개혁,한류 문화 활성화,노무현(16대),우리의 미래는 한반도에 갇혀 있을 수 없다.21세기는 동북아시대가 될것이다. 한반도는 동북아의 중심에 있다.,보통,보통,그렇지 않다,보통,중위,중도,남자,56.0,경남,"사무직(회사원, 일반공무원 등)",300만원~400만원 미만,고등학교 졸업,0.654
67.0,공약 실천 방안 마련,별로 관심이 없다,공정,정의,상생,의료 등 복지 향상,정치 제도 개혁,물가 및 서민 생활 안정,정치적 갈등 해소방안 마련,경제 양극화 해소,신성장동력 첨단기술 육성,이승만(1~3대),815 해방기념일,그렇지 않다,그렇지 않다,보통,그렇지 않다,하위,중도,남자,83.0,충남,무직/실업상태,100만원 미만,대학교 (4년제) 졸업,0.944
68.0,공약 실천 방안 마련,매우 관심이 있다,정의,공정,통합,국제외교 및 남북관계 긴장 완화,사회갈등 해소를 위한 국민 통합,사회 불공정 타파,기후위기 등 환경문제 대응방안 마련,한반도 평화와 통일 프로세스 구축,고령화 저출산 문제 해결,노무현(16대),국민참여,그렇다,그렇다,그렇다,그렇다,중하위,진보,남자,44.0,서울,전문직(준전문직 포함),100만원 미만,대학원 졸업,1.118
